site,species,number_of_floral_units_july,number_of_floral_units_august
falaise_park,Trifolium repens,876,44
falaise_park,Prunella vulgaris,489.6,14
falaise_park,Trifolium pratense,8,22
falaise_park,Hypochaeris radicata,98,1
falaise_park,Bellis perennis,2,1
falaise_park,Matricaria discoidea,11,0
falaise_park,Plantago lanceolata,62,0
falaise_park,Achillea millefolium,1314,0
falaise_park,Cirsium arvense,13,0
falaise_park,Ranunculus repens,8,-1
falaise_park,Geranium molle,2,0
falaise_park,Chamerion angustifolium,50,-1
falaise_park,Symphoricarpos albus,20,0
falaise_park,Cerastium glomeratum,18,0
falaise_park,Trifolium dubium,15,4
falaise_park,Oxalis corniculata,0,2
falaise_park,Fragaria virginiana,-1,0
falaise_park,Crepis capillaris,-1,0
falaise_park,Spiraea douglasii,-1,0
falaise_park,Senecio vulgaris,-1,0
falaise_park,Epilobium ciliatum,-1,-1
falaise_park,Vicia cracca,-1,0
falaise_park,Vicia sativa,-1,0
falaise_park,Anthemis cotula,-1,0
falaise_park,Lactuca serriola,0,-1
kaslo_park,Hypochaeris radicata,319,0
kaslo_park,Bellis perennis,139,1
kaslo_park,Trifolium repens,224,12
kaslo_park,Trifolium dubium,1742,0
kaslo_park,Plantago lanceolata,26,3
kaslo_park,Cerastium glomeratum,10,0
kaslo_park,Trifolium pratense,3,1
kaslo_park,Crepis capillaris,-1,2
kaslo_park,Tilia cordata,-1,0
clark_park,Bellis perennis,838,-1
clark_park,Trifolium repens,150,32
clark_park,Trifolium pratense,8,3
clark_park,Trifolium dubium,180,57
clark_park,Achillea millefolium,15,-1
clark_park,Hypochaeris radicata,2,0
clark_park,Cerastium glomeratum,0,2
clark_park,Prunella vulgaris,0,3
clark_park,Ranunculus repens,-1,-1
clark_park,Lavendula angustifolia,-1,-1
clark_park,Allium schoenoprasum,0,-1
almond_park,Trifolium repens,352,0
almond_park,Ranunculus repens,13,-1
almond_park,Hypochaeris radicata,23,79
almond_park,Plantago lanceolata,1,0
almond_park,Prunella vulgaris,2230.2,0
almond_park,Cerastium glomeratum,5,0
almond_park,Chamerion angustifolium,-1,0
almond_park,Lactuca serriola,0,-1
trafalgar_street_park,Plantago lanceolata,1,0
trafalgar_street_park,Trifolium dubium,738,0
trafalgar_street_park,Achillea millefolium,5147,65
trafalgar_street_park,Trifolium repens,45,-1
trafalgar_street_park,Trifolium pratense,6,2
trafalgar_street_park,Hypochaeris radicata,2,2
trafalgar_street_park,Crepis capillaris,0,-1
ubc_farm_hedgerow,Convolvulus arvensis,4,5
ubc_farm_hedgerow,Symphoricarpos albus,96,42
ubc_farm_hedgerow,Rubus discolor,17,4
ubc_farm_hedgerow,Ranunculus repens,25,0
ubc_farm_hedgerow,Plantago lanceolata,8,0
ubc_farm_hedgerow,Trifolium repens,6,5
ubc_farm_hedgerow,Geranium molle,4,0
ubc_farm_hedgerow,Cornus sericea,52,0
ubc_farm_hedgerow,Tanacetum parthenium,0,12
ubc_farm_hedgerow,Foeniculum vulgare,-1,16962.4
ubc_farm_hedgerow,Rumex crispus,-1,0
ubc_farm_hedgerow,Tanacetum parthenium,-1,0
ubc_farm_hedgerow,Hydrangea sp,-1,0
ubc_farm_hedgerow,Achillea millefolium,-1,0
ubc_farm_hedgerow,Crocossmia 'lucifer',-1,0
ubc_farm_hedgerow,Dahlia sp.,-1,-1
ubc_farm_hedgerow,Lonicera involucrata,-1,0
ubc_farm_hedgerow,Buddleja davidii,-1,-1
ubc_farm_hedgerow,Solidago canadensis,-1,-1
ubc_farm_hedgerow,Rudbeckia hirta,-1,0
ubc_farm_hedgerow,Allium schoenoprasum,-1,0
ubc_farm_hedgerow,Helianthus annuus,0,-1
ubc_farm_field_margin,Trifolium pratense,0,6
ubc_farm_field_margin,Fagopyrum esculentum,0,4895.4
ubc_farm_field_margin,Phacelia tanacetifolia,0,2380.8
ubc_farm_field_margin,Ranunculus repens,48,1
ubc_farm_field_margin,Trifolium repens,105,0
ubc_farm_field_margin,Cerastium glomeratum,14,5
ubc_farm_field_margin,Geum macrophyllum,6,3
ubc_farm_field_margin,Rubus discolor,-1,
ubc_farm_field_margin,Cirsium arvense,-1,
ubc_farm_field_margin,Crepis capillaris,-1,
ubc_farm_field_margin,Gallium aparine,-1,
balaclava_park,Trifolium dubium,324,0
balaclava_park,Trifolium repens,4,9
balaclava_park,Hypochaeris radicata,-1,
